Type of needs;Physiological needs;Physiological needs;Physiological needs;Physiological needs;Safety needs;Safety needs;Safety needs;Love and belonging needs;Esteem needs;Esteem needs;Esteem needs
Cities;People living in extreme poverty;Child Mortality Rate;People with access to inappropriate;Life expectancy at birth;Unemployment Rate;Degree of formality at work;Homicide Rate;Gini Index;Illiteracy Rate;Expected years of schooling;Per capita income
Objective;Minimize;Minimize;Minimize;Maximize;Minimize;Maximize;Minimize;Minimize;Minimize;Maximize;Maximize
Angra dos Reis;2,0300;12,9700;0,5600;75,7500;8,1700;71,3800;38,9910;0,5000;5,1300;9,0000;798,6800
Aperibé;2,3300;18,4000;0,2700;72,1000;4,5400;41,8500;0,0000;0,4300;10,6000;8,9500;516,1400
Araruama;3,6800;14,1800;2,7000;75,3200;10,6000;53,2400;31,2422;0,5400;7,4100;8,8400;680,8800
Areal;3,4400;15,0000;0,4900;74,3500;9,2400;58,2100;0,0000;0,4800;7,2900;9,2100;571,7400
Armação dos Búzios;0,1100;14,8000;1,2200;74,4400;5,7200;53,9500;4,7207;0,5100;4,5600;9,0900;851,3900
Arraial do Cabo;1,1400;16,5000;2,9300;73,3100;9,7100;55,9800;72,0202;0,4700;4,5500;9,4900;714,4700
Barra do Piraí;2,2500;15,3000;1,7500;74,1400;10,0100;68,4000;10,5424;0,5100;4,4800;9,1500;719,1600
Barra Mansa;1,4400;14,9100;0,4700;74,1400;8,2300;71,3400;2,0241;0,4800;3,9400;9,4200;705,1000
Belford Roxo;3,3100;16,5400;2,9800;73,5000;9,9900;61,9200;45,8167;0,4200;4,9700;8,8800;491,5100
Bom Jardim;2,5500;16,1000;1,3800;73,5600;3,3900;59,4000;1,5749;0,4800;10,7400;8,2500;649,6200
Bom Jesus do Itabapoana;3,4100;15,2000;0,0600;74,1600;8,5400;59,5800;56,5227;0,5600;9,7600;9,4500;717,6900
Cabo Frio;2,3500;15,4100;4,9800;75,1600;8,9400;57,3800;48,8664;0,5400;5,0200;8,6100;815,7500
Cachoeiras de Macacu;2,5900;16,4300;2,7100;74,0100;10,0200;55,1900;91,9625;0,4900;9,3100;8,7300;604,4500
Cambuci;3,0500;16,2000;2,7900;73,5100;7,3200;44,8500;0,0000;0,4700;12,6900;9,5000;524,8800
Campos dos Goytacazes;3,6700;14,7200;5,2300;74,8200;10,1900;64,6600;42,0671;0,5500;6,8500;8,5000;682,5900
Cantagalo;1,4100;15,1000;3,1500;74,2900;3,6600;65,0700;3,5307;0,4800;9,4200;8,7300;641,6100
Carapebus;1,9300;16,5000;1,9800;73,3000;12,0700;60,7000;74,9176;0,4200;8,4200;9,0700;620,3500
Cardoso Moreira;3,7100;18,6000;2,4300;71,9300;8,4400;50,3500;39,8724;0,4500;15,2000;7,5800;465,0400
Carmo;1,7300;15,8000;0,0000;73,7700;7,8600;62,9100;0,0000;0,4700;9,9100;8,2400;559,6600
Casimiro de Abreu;1,1800;16,0000;0,1200;73,6400;8,1400;59,9100;16,9621;0,4800;6,9800;9,0400;768,4500
Comendador Levy Gasparian;1,0900;18,4000;0,2200;72,1100;10,7600;72,0900;0,0000;0,4400;7,3600;9,2500;537,6600
Conceição de Macabu;4,3300;16,4000;1,1200;73,3800;9,2300;59,8000;23,5849;0,4800;9,7300;9,1500;614,5700
Cordeiro;1,1200;14,7000;3,0400;74,5400;6,6000;71,5300;98,0248;0,4800;5,8400;9,1500;724,2900
Duas Barras;1,1900;17,9000;1,1900;72,3900;4,0600;49,1100;18,2932;0,4400;11,7300;8,4000;540,3500
Duque de Caxias;2,8300;14,0700;3,2300;75,0000;10,8600;65,0900;56,0204;0,4600;4,9900;9,0200;592,8100
Engenheiro Paulo de Frontin;3,7900;16,5000;5,0400;73,3200;12,3500;61,0800;0,0000;0,4500;5,7800;9,5500;529,0500
Guapimirim;3,2800;16,7200;3,3100;73,6900;12,1600;52,7000;23,3069;0,5000;7,5100;8,8300;594,0600
Iguaba Grande;2,2300;13,5000;2,3200;75,4400;13,4800;51,7900;34,9987;0,5600;4,2400;9,6600;818,0100
Itaboraí;3,3100;15,0400;5,9000;73,7500;11,1100;60,2700;5,2731;0,4800;6,5600;8,6500;584,3500
Itaguaí;2,8500;15,7000;2,8600;73,8400;12,0300;63,3700;56,7958;0,4700;5,4400;8,9000;635,5000
Italva;2,9400;17,7000;1,2100;72,5200;8,3900;54,7800;0,0000;0,4700;11,0600;8,8900;593,8800
Itaocara;2,5800;15,2000;1,3300;74,1800;7,4700;46,5000;13,0993;0,4900;11,0500;9,4500;607,1800
Itaperuna;1,3500;12,6600;0,4500;75,2400;6,8200;62,5900;26,0753;0,4700;7,6200;9,1400;688,8300
Itatiaia;1,0800;13,8000;0,6800;75,1600;7,5600;69,9700;20,7958;0,5100;5,8300;9,3600;773,4800
Japeri;4,0900;16,2000;3,6900;73,5100;11,1000;57,0300;52,4158;0,4200;7,0900;8,6100;420,1500
Laje do Muriaé;3,5200;17,0000;1,6300;72,9700;10,6600;50,7400;0,0000;0,4600;13,7600;9,2400;453,9700
Macaé;1,3800;13,6000;3,9200;74,6600;7,2800;73,2100;35,7924;0,5600;4,2200;8,5300;1103,4200
Macuco;3,8100;16,9000;0,1500;73,0300;8,2900;75,5600;0,0000;0,5000;7,9200;8,8600;574,9600
Magé;4,5500;13,3400;5,2400;74,9100;11,3600;57,3600;3,2873;0,4900;5,8600;8,9900;567,5900
Mangaratiba;1,6000;13,1000;0,2700;75,7100;7,2600;57,4800;27,5399;0,5100;4,1000;9,6300;832,1500
Maricá;1,4700;12,0200;5,9400;75,9900;7,7800;56,6500;24,3101;0,4900;4,5300;9,0300;910,4100
Mendes;2,0300;16,4000;4,3800;73,3600;10,3900;63,3600;22,2965;0,4800;5,4800;9,7500;649,4000
Mesquita;2,7300;13,9700;0,5700;75,3100;10,0900;62,9700;4,6911;0,4700;3,4500;9,5100;640,3700
Miguel Pereira;2,2600;14,5000;1,6800;74,6800;9,6900;53,2500;81,1458;0,5500;6,8000;9,2800;801,6300
Miracema;1,8400;16,5000;0,0300;73,3200;9,7900;54,8400;0,0186;0,5000;10,7900;8,7800;608,6200
Natividade;1,3500;16,4000;0,4600;73,3600;7,5800;56,2800;0,0000;0,5200;11,2300;10,1900;653,2300
Nilópolis;1,0900;15,7500;0,0200;73,9900;9,7900;67,5200;40,0043;0,4500;2,1500;9,7500;755,2600
Niterói;0,8000;12,9100;0,6400;76,2300;6,4000;72,5000;33,4478;0,5900;2,2700;9,6800;2000,2900
Nova Friburgo;0,5700;13,2100;0,5700;75,7700;3,8100;66,8000;17,5809;0,5100;5,0300;9,0300;894,7500
Nova Iguaçu;3,3800;15,3500;2,6500;74,0800;10,7100;61,6400;42,0014;0,4800;4,6300;9,2500;591,0000
Paracambi;3,7100;15,9000;0,6000;73,7300;9,7500;59,7900;10,6216;0,4400;5,4600;9,1700;580,4900
Paraíba do Sul;2,3500;15,9000;1,2400;73,7000;8,8800;62,2500;34,0732;0,5000;6,0600;9,0300;613,5600
Paraty;4,0300;13,4000;3,0600;75,5200;4,3800;50,7500;29,2748;0,5200;8,3000;7,9200;734,3600
Paty do Alferes;4,2800;16,4000;3,2900;73,3400;5,8700;41,7000;22,7436;0,5600;12,3000;8,5000;562,5200
Petrópolis;1,5000;12,8600;0,6700;75,7900;6,4900;67,0800;8,7825;0,5500;3,9700;9,3600;922,4900
Pinheiral;2,8900;16,9000;0,6300;73,0300;10,5800;68,0000;22,0032;0,5100;5,3000;8,4600;657,9900
Piraí;2,8000;16,7000;2,5600;73,1600;9,2800;73,6800;76,0196;0,5000;7,1700;9,0600;678,3000
Porciúncula;9,3400;16,8000;1,2000;73,1100;10,6900;53,5200;1,1254;0,5600;11,5100;9,1400;615,6300
Porto Real;1,2900;15,5000;1,1700;74,0100;10,0000;75,2900;48,2684;0,4200;6,3300;8,9700;577,0700
Quatis;1,0300;16,4000;0,4600;73,3800;7,0200;69,6700;0,0000;0,4200;6,7500;8,1600;535,9600
Queimados;3,8900;16,6700;2,1400;73,5800;10,9100;62,9800;32,6234;0,4300;5,6800;8,7800;484,4000
Quissamã;3,0100;15,2000;0,5400;74,2300;11,5700;61,8500;4,9397;0,5300;8,8400;9,1100;616,3100
Resende;0,8200;13,8500;0,2100;75,3100;7,8300;75,2200;35,0581;0,5200;4,2100;9,6200;915,2100
Rio Bonito;2,7500;15,2000;5,4000;74,1600;8,7900;62,7200;71,9606;0,4800;7,8900;8,8900;643,5400
Rio Claro;2,7700;16,9000;0,7200;73,0700;4,4700;63,0900;22,9872;0,5000;10,2300;8,9900;623,6200
Rio das Flores;2,3200;15,0000;0,8800;74,3200;5,5100;57,1300;11,7028;0,4600;8,6500;8,8600;499,1300
Rio das Ostras;1,4500;10,9600;3,5400;76,2600;8,2700;62,1900;30,2580;0,5300;3,7300;9,1800;1051,1900
Rio de Janeiro;1,2500;13,0200;0,3000;75,6900;7,2500;71,2800;29,5270;0,6200;2,8800;9,3900;1492,6300
Santa Maria Madalena;3,3800;17,3000;11,7800;72,7900;7,3200;55,8800;48,4449;0,4800;12,7900;8,5900;522,6600
Santo Antônio de Pádua;1,8500;16,5000;1,2700;73,3300;6,6500;52,7900;49,2987;0,5100;9,2500;8,9700;657,5300
São Fidélis;2,2800;18,2000;0,4900;72,2100;4,4000;52,7700;79,8871;0,4700;10,1800;9,4700;567,2300
São Francisco de Itabapoana;10,8600;17,8000;10,6600;72,4400;10,0800;33,6800;36,2696;0,4900;18,7500;8,2000;375,4900
São Gonçalo;1,5500;14,5500;3,6000;74,9600;9,9200;67,9100;38,5038;0,4300;3,5800;9,0800;669,3000
São João da Barra;3,6900;16,9000;2,0100;73,0200;8,1800;51,5100;45,7778;0,4800;9,8000;8,3900;570,3800
São João de Meriti;2,0100;14,5600;0,4400;74,8700;9,1300;65,5500;38,3145;0,4300;3,3800;9,2200;597,5700
São José de Ubá;3,8300;17,2000;1,5000;72,8800;5,5800;33,9600;0,0000;0,4700;14,7100;8,9200;410,4400
São José do Vale do Rio Preto;3,6800;16,5000;0,3100;73,3300;6,1100;44,5000;0,0000;0,4700;10,1200;8,7100;517,9900
São Pedro da Aldeia;2,3500;16,9000;4,0300;73,0300;10,3100;59,5100;24,9963;0,5000;6,1600;8,9800;710,0400
São Sebastião do Alto;4,8700;18,0000;0,3500;72,3500;3,8000;42,6600;11,2284;0,4200;14,4900;8,4700;423,8800
Sapucaia;5,5600;16,6000;1,7700;73,2600;5,0400;62,2200;5,7130;0,5000;10,1300;8,4600;558,9400
Saquarema;2,5400;16,6000;6,1300;73,2600;10,1900;45,9600;18,8626;0,5200;6,2700;8,6200;681,6200
Seropédica;2,9900;16,5000;1,1300;73,3000;11,3300;56,1100;25,5810;0,4700;5,9000;9,2800;604,8200
Silva Jardim;6,1300;17,6000;14,4100;72,6000;11,1300;53,4400;18,7266;0,4900;13,2400;8,2400;476,9900
Sumidouro;5,5200;17,3000;11,2900;72,7800;1,3100;24,8400;67,0241;0,4700;16,0000;7,3300;479,4600
Tanguá;4,8700;17,7000;6,7000;72,5500;10,5300;57,7000;29,2864;0,4200;8,9200;8,6100;440,8400
Teresópolis;1,5800;13,2900;1,1400;76,2700;6,5900;59,5700;10,9887;0,5600;6,4800;8,8200;859,7900
Trajano de Moraes;6,5200;15,8000;4,8800;73,7700;4,6400;38,0200;19,4534;0,5100;14,5400;8,8800;510,9600
Três Rios;2,1400;16,9000;0,6900;73,0300;8,8700;74,3000;77,4164;0,5200;5,4700;8,9500;726,8300
Valença;2,3900;12,5800;0,7700;75,8500;8,3200;62,3100;11,1275;0,5200;6,0000;8,8100;675,6200
Varre-Sai;2,0200;16,1000;1,0400;73,5800;8,2200;35,7300;0,0000;0,4400;11,6000;8,3700;418,6200
Vassouras;2,5400;15,8000;1,5300;73,7900;7,2000;63,0900;87,1105;0,5200;7,6100;8,8500;701,0600
Volta Redonda;1,4700;14,1500;0,0900;74,9800;8,2000;73,1200;31,3958;0,5000;3,3000;9,8200;920,5100